intent,question_examples,approved_answer,source_name,source_url,verified_by,verified_at,review_status,published,related_actions,notes
find_icpdp,Phòng ICPDP ở đâu|Tìm phòng ICPDP|Chỉ đường tới ICPDP,Phòng ICPDP nằm ở Tầng 1 của tòa nhà Delta.,MAPPING DELTA.xlsx,,,,draft,false,show_map_floor_1,
find_library,Thư viện ở đâu|Tìm thư viện trường|Đường tới thư viện,Thư viện trường có ở cả Tầng 1 và Tầng 2 tòa nhà Delta.,MAPPING DELTA.xlsx,,,,draft,false,show_map_library,
find_room_c404,Phòng C404 ở đâu|Chỉ đường tới C404|Tìm C404,Phòng C404 nằm tại Tầng 4 của tòa nhà Delta.,MAPPING DELTA.xlsx,,,,draft,false,show_map_c404,
find_room_c305,Cho mình hỏi C305 ở tầng mấy|Đường đến C305,"Phòng C305 nằm ở Tầng 3, ngay sát Nhà vệ sinh Nữ bên phải.",MAPPING DELTA.xlsx,,,,draft,false,show_map_c305,
find_room_c201,Phòng C201 ở đâu|Tới C201 thế nào,"Phòng C201 nằm ở Tầng 2 tòa Delta, cạnh khu vực Nhà vệ sinh Nam bên trái.",MAPPING DELTA.xlsx,,,,draft,false,show_map_c201,
find_startup,Phòng Startup ở chỗ nào|Đường tới phòng Startup,"Phòng Startup nằm ở Tầng 1 tòa Delta, gần khu vệ sinh và phòng 108C.",MAPPING DELTA.xlsx,,,,draft,false,show_map_startup,
find_toilet_t1,Nhà vệ sinh tầng 1 ở đâu|Tìm WC tầng 1,Nhà vệ sinh Tầng 1 nằm giữa dãy phòng 105 và phòng Startup.,MAPPING DELTA.xlsx,,,,draft,false,show_map_toilet_1,
find_toilet_t2,Nhà vệ sinh tầng 2 ở đâu|WC tầng 2,Nhà vệ sinh Tầng 2 nằm đối diện phòng C205 và C206.,MAPPING DELTA.xlsx,,,,draft,false,show_map_toilet_2,
fap_timetable,Xem thời khóa biểu thế nào|Cách dùng FAP xem lịch học,"Bạn vào trang chủ FAP, chọn mục 'Weekly timetable' để xem lịch học.",Mô tả website nhà trường,,,,draft,false,open_fap_link,
fap_attendance,Xem điểm danh ở đâu|Kiểm tra vắng mặt,"Trong FAP, bạn vào mục Academic Information, chọn Attendance Report.",Mô tả website nhà trường,,,,draft,false,open_fap_link,
fap_grades,Xem điểm môn học|Kiểm tra điểm trên FAP,"Vào FAP, chọn Academic Information -> Mark Report để xem điểm tổng kết.",Mô tả website nhà trường,,,,draft,false,open_fap_link,
coursera_guide,Cách học Coursera|Dùng Coursera thế nào,Bạn chọn thẻ Coursera trong luồng Hướng dẫn website để xem chi tiết cách link tài khoản.,Mô tả website nhà trường,,,,draft,false,open_coursera_guide,
exam_resit_rule,Quy định thi lại|Thi lại có bị giới hạn điểm không|Resit,Bạn ĐƯỢC PHÉP thi lại lần 2 và tính kết quả lần 2. Dù điểm thi lớn hơn 4.0 bạn vẫn có quyền thi lại.,Report FPTU_Student_Guide.pdf,,,,draft,false,open_exam_guide,
exam_pe_rule,Thi PE mang gì|Quy định thi thực hành,"Bạn chỉ được mang thẻ sinh viên và bút, máy tính. Tắt điện thoại, ba lô để lên bục.",Report FPTU_Student_Guide.pdf,,,,draft,false,open_exam_guide,
app_info,Ứng dụng này là gì|FPTU Student Guide có chức năng gì,"Đây là app hỗ trợ sinh viên với 3 tính năng: 3D Mapping, Hướng dẫn thi cử, và Hướng dẫn website.",Report FPTU_Student_Guide.pdf,,,,draft,false,show_app_intro,
team_info,Ai tạo ra app này|Triple N 01 là ai,"App được phát triển bởi team Triple N 01 gồm Thế Anh, Công Du và Gia Huy.",Report FPTU_Student_Guide.pdf,,,,draft,false,show_team_info,
find_room_103,Phòng 103 ở đâu,"Phòng 103 nằm ở Tầng 1, hướng rẽ từ sảnh chính.",MAPPING DELTA.xlsx,,,,draft,false,show_map_103,
find_room_421,Phòng 421 ở đâu,"Phòng 421 nằm ở Tầng 4, phía cuối dãy hành lang trên cùng phía thang máy.",MAPPING DELTA.xlsx,,,,draft,false,show_map_421,
find_room_321,Phòng 321 tầng 3 ở đâu,"Phòng 321 ở Tầng 3, ngay cạnh hành lang chính.",MAPPING DELTA.xlsx,,,,draft,false,show_map_321,
bot_greeting,Xin chào|Hello|Hi,Chào bạn! Mình là trợ lý FPTU Student Guide. Mình có thể giúp gì cho bạn hôm nay?,,,,,draft,false,none,
bot_thanks,Cảm ơn|Thank you,Không có chi! Chúc bạn một ngày học tập hiệu quả tại FPTU nhé.,,,,,draft,false,none,
map_routing,Chỉ đường đa tầng|Cách đi từ T1 lên T4,"Bạn dùng chức năng 3D map, hệ thống sẽ vẽ đường qua cầu thang để lên tầng mong muốn.",Report FPTU_Student_Guide.pdf,,,,draft,false,open_3d_map,
tech_stack,Dùng công nghệ gì làm app|Tech stack,"App dùng FastAPI, thuật toán định tuyến 3D đa tầng và giao diện web hiện đại.",Report FPTU_Student_Guide.pdf,,,,draft,false,none,
feedback_app,Tôi muốn góp ý lỗi app|Báo lỗi map,Bạn có thể gửi feedback qua luồng Admin Services hoặc liên hệ trực tiếp team Triple N 01.,README.md,,,,draft,false,none,
ask_coursera_pass,Bao nhiêu điểm thì qua Coursera|Điều kiện pass Coursera,Bạn cần hoàn thành 100% video và bài test để pass môn học trên Coursera.,Mô tả website nhà trường,,,,draft,false,open_coursera_guide,
ask_resit_condition,Điểm cao có được thi lại không|Được thi cải thiện không,"Có, bạn luôn được phép đăng ký thi lại lần 2 để lấy kết quả lần 2, không phân biệt điểm lần 1.",Report FPTU_Student_Guide.pdf,,,,draft,false,open_exam_guide,
find_room_105,Phòng 105 nằm ở đâu|Chỉ đường đến 105,"Phòng 105 nằm ở Tầng 1, kế bên khu vực nhà vệ sinh Nữ gần thang máy.",MAPPING DELTA.xlsx,,,,draft,false,show_map_105,
find_room_111,Phòng 111 ở đâu|Tới 111 thế nào,"Phòng 111 nằm ở Tầng 1, đối diện dãy 103 và gần cầu thang chính.",MAPPING DELTA.xlsx,,,,draft,false,show_map_111,
find_room_c202,Phòng C202 ở tầng mấy|Tìm C202,Phòng C202 nằm trong dãy trung tâm ở Tầng 2.,MAPPING DELTA.xlsx,,,,draft,false,show_map_c202,
find_room_211,Phòng 211 ở đâu,"Phòng 211 nằm ở Tầng 2, là phòng lab của FPTU Data Science Club.",MAPPING DELTA.xlsx,,,,draft,false,show_map_211,
find_room_c302,Phòng C302 nằm ở đâu,"Phòng C302 là phòng học trung tâm nằm ở Tầng 3, sát phòng C303.",MAPPING DELTA.xlsx,,,,draft,false,show_map_c302,
find_room_313,Phòng 313 ở tầng nào|Đường tới 313,"Phòng 313 nằm ở Tầng 3, ngay cạnh cầu thang lên xuống.",MAPPING DELTA.xlsx,,,,draft,false,show_map_313,
find_room_c402,Phòng C402 ở đâu,Phòng C402 thuộc dãy học nhạc và tiếng anh Tầng 4 của tòa nhà Delta.,MAPPING DELTA.xlsx,,,,draft,false,show_map_c402,
find_room_411,Phòng 411 tầng 4 ở chỗ nào,"Phòng 411 ở Tầng 4, nằm đối diện dãy C401 ngay góc hành lang.",MAPPING DELTA.xlsx,,,,draft,false,show_map_411,
fap_check_attendance,Xem phần trăm vắng trên FAP|Xem cúp học ở đâu,"Bạn đăng nhập FAP, vào Academic Information -> Attendance Report.",Mô tả website nhà trường,,,,draft,false,open_fap_link,
ask_app_scalability,App này có mở rộng không|Dùng cho nhà Alpha được không,"App được thiết kế với kiến trúc đa cơ sở, hoàn toàn có thể mở rộng sang các tòa nhà khác trong tương lai.",Report FPTU_Student_Guide.pdf,,,,draft,false,none,
coursera_login_issue,Lỗi đăng nhập Coursera|Không vào được Coursera,Hãy chắc chắn bạn dùng email đăng ký với nhà trường.,Mô tả website nhà trường,,,,draft,false,open_coursera_guide,
ask_technical_room,Phòng kỹ thuật ở đâu|Chỗ điều khiển mạng,"Phòng kỹ thuật nằm ở Tầng 1, phía sau thư viện, sinh viên không được vào.",MAPPING DELTA.xlsx,,,,draft,false,none,
exam_check_type,Làm sao biết thi FE hay PE|Xem lịch thi ở đâu,Bạn kiểm tra lịch thi (Exam Schedule) trên FAP để biết định dạng và phòng thi chính xác.,Mô tả website nhà trường,,,,draft,false,open_fap_link,
find_room_339,Phòng 339 nằm ở đâu,Phòng 339 nằm tận cùng dãy hành lang Tầng 3 bên phải và nằm cạnh nhà vệ sinh nữ.,MAPPING DELTA.xlsx,,,,draft,false,show_map_339,
ask_ui_guide,Cách xem hướng dẫn trên app|Giao diện dùng thế nào,"Mục hướng dẫn được thiết kế dạng thẻ (card), nhấp vào để xem bài viết và ảnh minh họa chi tiết.",Mô tả website nhà trường,,,,draft,false,none,
report_map_error,Bản đồ sai|Phòng học bị sai vị trí,Bạn có thể gửi phản hồi để team Triple N 01 cập nhật lại thông tin file CSV.,README.md,,,,draft,false,none,
eos_login_fail,Quên mật khẩu EOS|Không đăng nhập được máy thi,Hãy giơ tay báo ngay cho cán bộ coi thi để được giúp đỡ hoặc di chuyển xuống phòng lab để được hỗ trợ kịp thời.,Report FPTU_Student_Guide.pdf,,,,draft,false,open_exam_guide,
find_room_108,Phòng 108 ở đâu|Tìm phòng 108A 108B,"Dãy 108 (A, B, C) nằm ở Tầng 1, đối diện phòng Startup.",MAPPING DELTA.xlsx,,,,draft,false,show_map_108,
exam_bring_materials,Được mang tài liệu vào phòng thi không|Thi open book,Chỉ được mang tài liệu nếu quy chế môn cho phép. Giám thị sẽ kiểm tra trước khi thi.,Report FPTU_Student_Guide.pdf,,,,draft,false,open_exam_guide,
find_room_222,Phòng 222 ở đâu,"Phòng lab 222 nằm ở Tầng 2, khu vực hành lang chính gần thang máy.",MAPPING DELTA.xlsx,,,,draft,false,show_map_222,
ask_data_collection,Data bản đồ lấy từ đâu,Dữ liệu 3D map do chính team sinh viên thu thập thực địa để đảm bảo chính xác 100%.,Report FPTU_Student_Guide.pdf,,,,draft,false,none,
ask_fap_alternative,Dùng app này xem điểm được không,"Không, ứng dụng chỉ hướng dẫn cách dùng FAP. Bạn vẫn phải vào FAP để xem điểm và lịch học.",Report FPTU_Student_Guide.pdf,,,,draft,false,open_fap_link,
